<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WBX.US,D,20211005,000000,9.49,10.1,9.09,9.4,731266,0
WBX.US,D,20211006,000000,9.78,10.09,9.5,9.85,617936,0
WBX.US,D,20211007,000000,10.2,10.25,9.55,9.99,552357,0
WBX.US,D,20211008,000000,10.05,10.05,9.5,9.5,353664,0
WBX.US,D,20211011,000000,9.79,10.4,9.59,10.07,543511,0
WBX.US,D,20211012,000000,10.29,10.32,9.98,10.03,209995,0
WBX.US,D,20211013,000000,10.03,10.1,9.9,10.01,221144,0
WBX.US,D,20211014,000000,10.02,10.09,9.7,10,721738,0
WBX.US,D,20211015,000000,9.9,10.08,9.9,10,261609,0
WBX.US,D,20211018,000000,10.01,10.1,9.9,10,203551,0
WBX.US,D,20211019,000000,10.26,10.4222,9.96,10.13,201360,0
WBX.US,D,20211020,000000,10.24,10.47,10.05,10.19,143971,0
WBX.US,D,20211021,000000,10.1,10.42,10.05,10.33,96698,0
WBX.US,D,20211022,000000,10.32,10.475,10.25,10.43,107546,0
